,Rep,Peak,Intensity,UV,Substrate,cma,
213764,11,1003.095947,256.264343,0h,MMS-2,127.7147988,Phe
214779,16,1003.095947,253.440048,0h,MMS-2,126.3073314,Phe
215794,0,1003.095947,45.458004,0h,MMS-2,25.29484918,Phe
216809,5,1003.095947,36.374054,0h,MMS-2,20.24013645,Phe
217824,10,1003.095947,31.682541,0h,MMS-2,17.62957709,Phe
218839,16,1003.095947,29.943621,0h,MMS-2,16.66199291,Phe
219854,0,1003.095947,96.125916,0h,MMS-2,31.391327,Phe
220869,5,1003.095947,82.432571,0h,MMS-2,26.91966164,Phe
221884,10,1003.095947,82.051476,0h,MMS-2,26.79515773,Phe
222899,16,1003.095947,83.811043,0h,MMS-2,27.36975764,Phe
223914,0,1003.095947,21.13726,0h,MMS-2,18.82518309,Phe
224929,5,1003.095947,17.434095,0h,MMS-2,15.52707136,Phe
225944,10,1003.095947,16.123156,0h,MMS-2,14.35953227,Phe
226959,16,1003.095947,15.190003,0h,MMS-2,13.52844582,Phe
227974,0,1003.095947,103.32682,0h,MMS-2,69.04781455,Phe
228989,5,1003.095947,120.098381,0h,MMS-2,80.25551573,Phe
230004,10,1003.095947,107.435043,0h,MMS-2,71.79331845,Phe
231019,16,1003.095947,102.6763,0h,MMS-2,68.61314473,Phe
232034,0,1003.095947,48.316254,0h,MMS-2,21.82702355,Phe
233049,5,1003.095947,42.455597,0h,MMS-2,19.17946418,Phe
234064,10,1003.095947,40.545326,0h,MMS-2,18.31649145,Phe
235079,16,1003.095947,40.932129,0h,MMS-2,18.49123136,Phe
236094,0,1003.095947,263.211273,0h,MMS-2,153.4269978,Phe
237109,5,1003.095947,31.990162,0h,MMS-2,121.7931175,Phe
238124,11,1003.095947,54.973785,0h,MMS-2,104.7773207,Phe
239139,16,1003.095947,-71.326218,0h,MMS-2,49.48033473,Phe
240154,0,1003.095947,55.842415,0h,MMS-2,14.27199818,Phe
241169,5,1003.095947,44.144909,0h,MMS-2,11.28239864,Phe
242184,10,1003.095947,43.8918,0h,MMS-2,11.21769918,Phe
243199,16,1003.095947,44.850426,0h,MMS-2,11.46268364,Phe
244214,0,1003.095947,28.092871,72h,PRT,10.04274804,Phe
245229,5,1003.095947,14.6732834,72h,PRT,7.914358564,Phe
246244,11,1003.095947,7.1213364,72h,PRT,6.912909818,Phe
247259,16,1003.095947,4.5556626,72h,PRT,7.439034818,Phe
248274,0,1003.095947,10.3081794,72h,PRT,22.511,Phe
249289,5,1003.095947,14.0328568,72h,PRT,11.08327284,Phe
250304,10,1003.095947,15.5003692,72h,PRT,6.841647764,Phe
251319,16,1003.095947,18.0555892,72h,PRT,6.0787024,Phe
252334,0,1003.095947,177.5776,72h,PRT,83.42188344,Phe
253349,5,1003.095947,179.1842408,72h,PRT,89.01702367,Phe
254364,10,1003.095947,170.345337,72h,PRT,84.71075267,Phe
255379,16,1003.095947,160.4365844,72h,PRT,80.18465369,Phe
256394,0,1003.095947,23.7183532,72h,PRT,16.29404993,Phe
257409,5,1003.095947,8.0206788,72h,PRT,10.05518007,Phe
258424,10,1003.095947,4.2109706,72h,PRT,10.59313065,Phe
259439,16,1003.095947,4.397195,72h,PRT,13.86591565,Phe
260454,0,1003.095947,32.0952424,72h,PRT,11.38849645,Phe
261469,5,1003.095947,26.324762,72h,PRT,9.340921873,Phe
262484,10,1003.095947,23.7784424,72h,PRT,8.437398509,Phe
263499,16,1003.095947,24.0934128,72h,PRT,8.549086382,Phe
264514,0,1003.095947,15.5245544,72h,PRT,-7.047946582,Phe
265529,5,1003.095947,-16.5728546,72h,PRT,9.660714745,Phe
266544,10,1003.095947,-24.0022552,72h,PRT,13.24052735,Phe
267559,16,1003.095947,-24.0602508,72h,PRT,21.2524614,Phe
268574,0,1003.095947,20.0838746,72h,PRT,18.27428104,Phe
269589,5,1003.095947,27.9577056,72h,PRT,23.28156931,Phe
270604,10,1003.095947,32.5612244,72h,PRT,27.14116067,Phe
271619,16,1003.095947,36.6791382,72h,PRT,30.43398155,Phe
272634,0,1003.095947,5.2528018,72h,PRT,18.29589971,Phe
273649,5,1003.095947,-9.4236588,72h,PRT,7.810261709,Phe
274664,11,1003.095947,-12.0482316,72h,PRT,6.701600345,Phe
275679,16,1003.095947,-11.9573266,72h,PRT,7.010149036,Phe
276694,0,1003.095947,24.0637436,72h,PRT,39.09045176,Phe
277709,5,1003.095947,0.3665376,72h,PRT,18.82861029,Phe
278724,10,1003.095947,1.3738244,72h,PRT,22.15642445,Phe
279739,16,1003.095947,6.3596028,72h,PRT,28.27782095,Phe
280754,0,1003.095947,-21.0871552,72h,PRT,8.938507527,Phe
281769,5,1003.095947,-18.596283,72h,PRT,7.882608673,Phe
282784,11,1003.095947,-17.3439392,72h,PRT,7.351837109,Phe
283799,16,1003.095947,-16.0732772,72h,PRT,6.813329145,Phe
284814,0,1003.095947,137.727509,0h,PRT,88.55973909,Phe
285829,5,1003.095947,182.186768,0h,PRT,72.09389773,Phe
286844,10,1003.095947,186.341568,0h,PRT,66.25258418,Phe
287859,16,1003.095947,185.250854,0h,PRT,62.91613145,Phe
288874,0,1003.095947,129.800262,0h,PRT,59.86752382,Phe
289889,5,1003.095947,111.671631,0h,PRT,51.50619,Phe
290904,10,1003.095947,101.860428,0h,PRT,46.98079309,Phe
291919,16,1003.095947,92.888191,0h,PRT,42.84260582,Phe
292934,0,1003.095947,140.272888,0h,PRT,43.49938755,Phe
293949,5,1003.095947,130.585419,0h,PRT,40.49534136,Phe
294964,10,1003.095947,127.297188,0h,PRT,39.47560664,Phe
295979,16,1003.095947,124.958939,0h,PRT,38.750408,Phe
296994,0,1003.095947,221.319031,0h,PRT,113.9433727,Phe
298009,5,1003.095947,181.368271,0h,PRT,93.37496118,Phe
299024,10,1003.095947,164.675552,0h,PRT,84.78112891,Phe
300039,16,1003.095947,155.112595,0h,PRT,79.85790918,Phe
301054,0,1003.095947,25.957956,0h,PRT,26.72259109,Phe
