Peak	Intensity	UV	Substrate	cma	Aminoacid
829	-27.854914	0h	MMS-2	9.728658182	Tyr
829	-27.738552	0h	MMS-2	9.688006364	Tyr
829	9.339406	0h	MMS-2	19.34307755	Tyr
829	9.557811	0h	MMS-2	19.79528909	Tyr
829	10.050061	0h	MMS-2	20.81465545	Tyr
829	10.681151	0h	MMS-2	22.12181827	Tyr
829	-12.573147	0h	MMS-2	67.89000718	Tyr
829	-14.374727	0h	MMS-2	49.74602245	Tyr
829	6.567187	0h	MMS-2	66.95961682	Tyr
829	14.390787	0h	MMS-2	75.55635009	Tyr
829	122.361061	0h	MMS-2	88.55229309	Tyr
829	121.804733	0h	MMS-2	90.18011636	Tyr
829	39.96064	0h	MMS-2	76.641619	Tyr
829	30.330713	0h	MMS-2	77.26511636	Tyr
829	50.551991	0h	MMS-2	75.30436582	Tyr
829	50.987026	0h	MMS-2	75.952405	Tyr
829	51.010368	0h	MMS-2	75.98723555	Tyr
829	56.665257	0h	MMS-2	84.41116336	Tyr
829	60.934814	0h	MMS-2	33.95110664	Tyr
829	59.976521	0h	MMS-2	33.41712473	Tyr
829	57.970005	0h	MMS-2	32.29915536	Tyr
829	60.709633	0h	MMS-2	33.82566364	Tyr
829	85.79628	0h	MMS-2	61.54360273	Tyr
829	73.094017	0h	MMS-2	52.43196191	Tyr
829	65.070824	0h	MMS-2	46.67663727	Tyr
829	61.145645	0h	MMS-2	43.86098745	Tyr
829	-18.157354	0h	MMS-2	31.36290164	Tyr
829	-16.460106	0h	MMS-2	28.43125627	Tyr
829	-15.909132	0h	MMS-2	27.47991018	Tyr
829	-16.063919	0h	MMS-2	27.74679918	Tyr
829	80.619949	0h	MMS-2	65.44664827	Tyr
829	73.218178	0h	MMS-2	59.43793227	Tyr
829	71.501793	0h	MMS-2	58.04453836	Tyr
829	60.589684	0h	MMS-2	49.18617073	Tyr
829	30.4873315	72h	PRT	27.88154611	Tyr
829	10.39333925	72h	PRT	12.0362223	Tyr
829	4.6080975	72h	PRT	7.835027818	Tyr
829	0.387133	72h	PRT	4.887326886	Tyr
829	45.056427	72h	PRT	26.79551557	Tyr
829	16.12028125	72h	PRT	22.60478202	Tyr
829	8.85106475	72h	PRT	22.16353484	Tyr
829	5.31351275	72h	PRT	23.5326578	Tyr
829	-0.22639125	72h	PRT	41.00521707	Tyr
829	36.120201	72h	PRT	34.82596661	Tyr
829	48.592266	72h	PRT	31.75419423	Tyr
829	52.46180725	72h	PRT	30.60957545	Tyr
829	43.69234475	72h	PRT	39.8213987	Tyr
829	29.0237275	72h	PRT	30.01974845	Tyr
829	30.44446375	72h	PRT	33.46471341	Tyr
829	26.78839675	72h	PRT	30.40513343	Tyr
829	33.1595155	72h	PRT	32.62200025	Tyr
829	30.2431775	72h	PRT	20.61673816	Tyr
829	28.9133415	72h	PRT	16.1097948	Tyr
829	25.51143075	72h	PRT	10.10485345	Tyr
829	44.041813	72h	PRT	17.55755245	Tyr
829	28.82289875	72h	PRT	14.36703623	Tyr
829	23.86306775	72h	PRT	14.70141614	Tyr
829	21.10618975	72h	PRT	14.65715268	Tyr
829	14.750041	72h	PRT	42.28642368	Tyr
829	-0.93155575	72h	PRT	26.19807825	Tyr
829	-9.527028	72h	PRT	17.83445432	Tyr
829	-9.43406675	72h	PRT	16.84064023	Tyr
829	10.16967575	72h	PRT	15.9790387	Tyr
829	3.6529495	72h	PRT	22.40402091	Tyr
829	-6.047512	72h	PRT	16.90995164	Tyr
829	-7.13159325	72h	PRT	17.57022877	Tyr
829	3.463781	72h	PRT	17.03730591	Tyr
829	2.37410175	72h	PRT	13.27635934	Tyr
829	5.89671175	72h	PRT	15.71810198	Tyr
829	15.62504675	72h	PRT	25.07101055	Tyr
829	-2.0117785	72h	PRT	10.42585248	Tyr
829	-3.04234425	72h	PRT	11.78507157	Tyr
829	-0.135922	72h	PRT	15.89802907	Tyr
829	0.080678	72h	PRT	16.13491441	Tyr
829	345.720276	0h	PRT	202.2331645	Tyr
829	298.215698	0h	PRT	174.4447255	Tyr
829	280.06015	0h	PRT	163.8245475	Tyr
829	262.312866	0h	PRT	153.4431088	Tyr
829	100.766747	0h	PRT	89.48498091	Tyr
829	90.562485	0h	PRT	80.42306873	Tyr
829	90.587463	0h	PRT	80.44527691	Tyr
829	88.089035	0h	PRT	78.22682164	Tyr
829	117.278015	0h	PRT	89.45713882	Tyr
829	104.475784	0h	PRT	79.69187282	Tyr
829	100.563332	0h	PRT	76.70760736	Tyr
829	98.05542	0h	PRT	74.79464273	Tyr
829	79.164818	0h	PRT	27.92477855	Tyr
829	74.306595	0h	PRT	26.21101373	Tyr
829	74.344673	0h	PRT	26.22438709	Tyr
829	73.675484	0h	PRT	25.98840455	Tyr
829	26.95413	0h	PRT	84.32882145	Tyr
829	92.646858	0h	PRT	83.39897973	Tyr
829	131.472534	0h	PRT	90.20187673	Tyr
829	149.239105	0h	PRT	91.86089145	Tyr
829	57.63995	0h	PRT	78.21371309	Tyr
829	134.06514	0h	PRT	89.21815064	Tyr
829	155.632065	0h	PRT	87.17856736	Tyr
829	146.86116	0h	PRT	81.25116573	Tyr
829	44.321964	0h	PRT	44.28167045	Tyr
829	58.524513	0h	PRT	46.86730273	Tyr
829	130.000092	0h	PRT	63.32161491	Tyr
829	158.110748	0h	PRT	69.52658455	Tyr
829	192.831665	0h	PRT	132.7553379	Tyr
829	103.999687	0h	PRT	120.8756757	Tyr
829	18.131502	0h	PRT	105.9905115	Tyr
829	-9.418931	0h	PRT	109.380057	Tyr
829	44.080276	0h	PRT	29.29508655	Tyr
829	11.727742	0h	PRT	27.39139091	Tyr
829	-14.760802	0h	PRT	29.41057264	Tyr
